epoch,psnr,time
1,9.747546997178222,181.28664422035217
2,11.469927220926781,179.4865539073944
3,12.80406404522223,179.57634854316711
4,13.16591378343311,178.25451040267944
5,13.785490188655205,179.80490517616272
6,14.087013330456967,180.7389006614685
7,14.464197660170713,179.4662778377533
8,14.484068862211084,179.28801488876343
9,14.778012106812865,177.6081793308258
10,14.816255948035918,176.38059282302856
11,14.880597998185465,176.64426708221436
12,15.09687059092671,176.07620453834534
13,15.269714742466068,176.7301163673401
14,15.295871147725357,176.26530122756958
15,15.498834872119359,177.07805967330933
16,15.432727113695762,177.4632625579834
17,15.470476224986779,176.98326778411865
18,15.731498330577615,228.8111538887024
19,15.614663804461218,242.100195646286
20,15.763964602465656,242.07524061203003
21,15.832088831651928,242.43487906455994
22,15.917500283180107,241.99527764320374
0,11.936144285004733,188.78947353363037
1,skip,189.8990924358368
2,skip,188.61140251159668
3,skip,189.18816423416138
4,skip,187.4244453907013
5,skip,188.5267140865326
6,skip,188.32790732383728
7,skip,188.10237860679626
8,skip,188.76227188110352
9,skip,189.01141357421875
10,15.924498658445712,189.32275342941284
11,skip,189.30357098579407
12,skip,189.82215404510498
13,skip,188.46560621261597
14,skip,190.725022315979
15,skip,192.22604250907898
16,skip,191.28598356246948
17,skip,190.0901792049408
18,skip,190.37840914726257
19,skip,190.35188937187195
20,16.72467660555194,190.48388242721558
21,skip,188.73092079162598
22,skip,194.05341839790344
23,skip,192.90809750556946
24,skip,193.80675172805786
25,skip,193.5964686870575
26,skip,189.0207908153534
27,skip,188.66274571418762
28,skip,188.48026537895203
29,skip,188.9015598297119
30,17.0248395603099,187.69693636894226
31,skip,190.04003977775574
32,skip,188.8818964958191
33,skip,188.64095282554626
34,skip,188.6803638935089
35,skip,188.17962217330933
36,skip,189.03384590148926
37,skip,189.8820071220398
38,skip,189.27422952651978
39,skip,189.52189350128174
40,17.229758326297816,189.14402222633362
41,skip,207.17826223373413
42,skip,242.29387545585632
43,skip,242.31133437156677
44,skip,241.94280242919922
45,skip,242.22688937187195
46,skip,242.03418564796448
47,skip,241.98968601226807
48,skip,242.40529608726501
49,skip,242.335679769516
50,17.26914790714704,241.9995720386505
51,skip,243.04075384140015
52,skip,242.03531312942505
53,skip,242.03926730155945
54,skip,242.05550861358643
55,skip,242.3904538154602
56,skip,242.13257765769958
57,skip,242.26288056373596
58,skip,242.27562189102173
59,skip,242.33891248703003
60,17.34425968630244,242.37931275367737
61,skip,243.10000562667847
62,skip,242.14400911331177
63,skip,242.0817768573761
64,skip,242.01911568641663
65,skip,242.06874990463257
66,skip,242.42815709114075
67,skip,242.35766696929932
68,skip,242.09237694740295
69,skip,241.9904384613037
70,17.501041857780994,242.06118631362915
71,skip,243.01806020736694
72,skip,242.3850622177124
73,skip,242.34227585792542
74,skip,242.20969200134277
75,skip,242.0937225818634
76,skip,242.41967272758484
77,skip,242.43526315689087
78,skip,242.13952708244324
79,skip,242.3877980709076
80,17.38308768478712,242.24736213684082
81,skip,243.32652235031128
82,skip,242.2308440208435
83,skip,242.28379440307617
84,skip,242.21829414367676
85,skip,242.06894326210022
86,skip,242.32613897323608
87,skip,242.41781187057495
88,skip,242.07064509391785
89,skip,242.21575236320496
90,17.566480146063466,242.24684476852417
91,skip,243.32890629768372
